accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR35751649	SRP630746	new	PRJNA1338475	SAMN52440860	18RB72	Run 1_1_18RB72	"= ""ddRAD data of Chrysoblephus puniceus: "" & A2"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB72.1.fq.gz	18RB72.2.fq.gz				
SRR35751648	SRP630746	new	PRJNA1338475	SAMN52440861	18RB82	Run 1_1_18RB82	"= ""ddRAD data of Chrysoblephus puniceus: "" & A3"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB82.1.fq.gz	18RB82.2.fq.gz				
SRR35751561	SRP630746	new	PRJNA1338475	SAMN52440862	18RB1	Run 1_1_18RB1	"= ""ddRAD data of Chrysoblephus puniceus: "" & A4"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB1.1.fq.gz	18RB1.2.fq.gz				
SRR35751534	SRP630746	new	PRJNA1338475	SAMN52440863	18RB75	Run 1_1_18RB75	"= ""ddRAD data of Chrysoblephus puniceus: "" & A5"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB75.1.fq.gz	18RB75.2.fq.gz				
SRR35751523	SRP630746	new	PRJNA1338475	SAMN52440864	18RB88	Run 1_1_18RB88	"= ""ddRAD data of Chrysoblephus puniceus: "" & A6"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB88.1.fq.gz	18RB88.2.fq.gz				
SRR35751608	SRP630746	new	PRJNA1338475	SAMN52440865	18RB52	Run 1_1_18RB52	"= ""ddRAD data of Chrysoblephus puniceus: "" & A7"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB52.1.fq.gz	18RB52.2.fq.gz				
SRR35751581	SRP630746	new	PRJNA1338475	SAMN52440866	18RB97	Run 1_1_18RB97	"= ""ddRAD data of Chrysoblephus puniceus: "" & A8"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB97.1.fq.gz	18RB97.2.fq.gz				
SRR35751570	SRP630746	new	PRJNA1338475	SAMN52440867	18RB94	Run 1_1_18RB94	"= ""ddRAD data of Chrysoblephus puniceus: "" & A9"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB94.1.fq.gz	18RB94.2.fq.gz				
SRR35751543	SRP630746	new	PRJNA1338475	SAMN52440868	18RB12	Run 1_1_18RB12	"= ""ddRAD data of Chrysoblephus puniceus: "" & A10"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB12.1.fq.gz	18RB12.2.fq.gz				
SRR35751516	SRP630746	new	PRJNA1338475	SAMN52440869	18RB98	Run 1_1_18RB98	"= ""ddRAD data of Chrysoblephus puniceus: "" & A11"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB98.1.fq.gz	18RB98.2.fq.gz				
